Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,math_score,fl_score,history_score,science_score,english_score
Brooklyn,Brooklyn North,19,19K089,P.S. 089 Cypress Hills,K-8,Dual Language,Spanish,General Education,P.S. 089 Cypress Hills,2019-20,490,33,40,47,44,47,48,42,64,61,64,0,0,0,0,247,0.504,243,0.496,2,0.004,13,0.027000000000000003,473,0.965,2,0.004,0,0.0,115,0.235,200,0.408,458,93.5%,86.4,66.4,,,,
Brooklyn,Brooklyn North,19,19K089,P.S. 089 Cypress Hills,K-8,Dual Language,Spanish,Special Education,P.S. 089 Cypress Hills,2019-20,490,33,40,47,44,47,48,42,64,61,64,0,0,0,0,247,0.504,243,0.496,2,0.004,13,0.027000000000000003,473,0.965,2,0.004,0,0.0,115,0.235,200,0.408,458,93.5%,86.4,66.4,,,,
Brooklyn,Brooklyn North,19,19K089,P.S. 089 Cypress Hills,K-8,Dual Language,Spanish,Special Education,P.S. 089 Cypress Hills,2019-20,490,33,40,47,44,47,48,42,64,61,64,0,0,0,0,247,0.504,243,0.496,2,0.004,13,0.027000000000000003,473,0.965,2,0.004,0,0.0,115,0.235,200,0.408,458,93.5%,86.4,66.4,,,,
Brooklyn,Brooklyn South,20,20K505,Franklin Delano Roosevelt High School,High school,Dual Language,Chinese,General Education,Franklin Delano Roosevelt High School,2019-20,3300,0,0,0,0,0,0,0,0,0,0,976,1042,582,700,1356,0.41100000000000003,1944,0.589,1203,0.365,334,0.10099999999999999,1192,0.361,39,0.012,532,0.161,499,0.151,947,0.287,2650,80.3%,86.6,71.57999999999998,89.27000000000001,72.30999999999999,66.185,68.97142857142856
Brooklyn,Brooklyn South,21,21K225,P.S. K225 - The Eileen E. Zaglin,K-8,Dual Language,Spanish,General Education,P.S. K225 - The Eileen E. Zaglin,2019-20,1005,45,94,103,82,82,103,97,140,129,130,0,0,0,0,450,0.44799999999999995,555,0.552,208,0.207,22,0.022000000000000002,344,0.342,11,0.011000000000000001,420,0.418,195,0.19399999999999998,356,0.354,819,81.5%,85.2,79.47999999999999,,,84.95,
Brooklyn,Brooklyn South,21,21K228,I.S. 228 David A. Boody,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,I.S. 228 David A. Boody,2019-20,1498,0,0,0,0,0,0,0,503,514,481,0,0,0,0,685,0.457,813,0.5429999999999999,452,0.302,72,0.048,335,0.22399999999999998,16,0.011000000000000001,623,0.41600000000000004,218,0.146,185,0.12300000000000001,1144,76.4%,70.8,84.78,,,80.6,
Brooklyn,Brooklyn South,21,21K228,I.S. 228 David A. Boody,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 228 David A. Boody,2019-20,1498,0,0,0,0,0,0,0,503,514,481,0,0,0,0,685,0.457,813,0.5429999999999999,452,0.302,72,0.048,335,0.22399999999999998,16,0.011000000000000001,623,0.41600000000000004,218,0.146,185,0.12300000000000001,1144,76.4%,70.8,84.78,,,80.6,
Brooklyn,Brooklyn South,21,21K238,P.S. 238 Anne Sullivan,K-8,Dual Language,Spanish,Special Education,P.S. 238 Anne Sullivan,2019-20,605,63,71,56,76,55,69,49,51,61,54,0,0,0,0,306,0.506,299,0.494,135,0.223,15,0.025,293,0.484,7,0.012,155,0.256,124,0.205,243,0.402,513,84.8%,88.3,66.36,,,69.2,
Brooklyn,Brooklyn South,21,21K281,I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,I.S. 281 Joseph B Cavallaro,2019-20,1259,0,0,0,0,0,0,0,408,413,438,0,0,0,0,603,0.479,656,0.521,517,0.41100000000000003,83,0.066,297,0.23600000000000002,8,0.006,354,0.281,232,0.184,215,0.171,1050,83.4%,77.4,83.22,,,84.34,
Queens,Queens North,24,24Q005,I.S. 5 - The Walter Crowley Intermediate School,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 5 - The Walter Crowley Intermediate School,2019-20,1755,0,0,0,0,0,0,0,570,605,580,0,0,0,0,818,0.466,937,0.534,686,0.391,28,0.016,992,0.565,10,0.006,39,0.022000000000000002,332,0.18899999999999997,314,0.179,1376,78.4%,78.7,86.6,,,87.12,
