Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Queens,Queens South,29,29Q095,P.S. 095 Eastwood,Elementary,Dual Language,Spanish,General Education,P.S. 095 Eastwood,2019-20,1435,0,231,231,232,240,245,256,0,0,0,0,0,0,0,727,0.507,708,0.493,596,0.415,149,0.10400000000000001,586,0.408,85,0.059000000000000004,19,0.013000000000000001,174,0.121,308,0.215,1052,73.3%,77.4%
Queens,Queens North,30,30Q017,P.S. 017 Henry David Thoreau,Elementary,Dual Language,Spanish,General Education,P.S. 017 Henry David Thoreau,2019-20,591,54,114,107,73,84,83,76,0,0,0,0,0,0,0,292,0.494,299,0.506,79,0.134,55,0.09300000000000001,309,0.523,30,0.051,118,0.2,118,0.2,142,0.24,423,71.6%,76.1%
Queens,Queens North,30,30Q076,P.S. 076 William Hallet,Elementary,Dual Language,Spanish,General Education,P.S. 076 William Hallet,2019-20,421,36,63,60,64,64,67,67,0,0,0,0,0,0,0,210,0.499,211,0.501,34,0.081,122,0.29,211,0.501,7,0.017,47,0.11199999999999999,136,0.32299999999999995,60,0.14300000000000002,340,80.8%,86.5%
Queens,Queens North,30,30Q092,P.S. 092 Harry T. Stewart Sr.,Elementary,Dual Language,Spanish,General Education,P.S. 092 Harry T. Stewart Sr.,2019-20,898,87,130,136,135,143,137,130,0,0,0,0,0,0,0,444,0.494,454,0.506,9,0.01,4,0.004,877,0.977,3,0.003,5,0.006,170,0.18899999999999997,221,0.24600000000000002,746,83.1%,83.1%
Queens,Queens North,30,30Q112,P.S. 112 Dutch Kills,Elementary,Dual Language,Spanish,General Education,P.S. 112 Dutch Kills,2019-20,412,46,64,53,54,64,73,58,0,0,0,0,0,0,0,216,0.524,196,0.47600000000000003,120,0.29100000000000004,93,0.226,152,0.369,10,0.024,37,0.09,59,0.14300000000000002,53,0.129,345,83.7%,87.6%
Queens,Queens North,30,30Q127,P.S. 127 Aerospace Science Magnet School,K-8,Dual Language,Spanish,General Education,P.S. 127 Aerospace Science Magnet School,2019-20,1212,40,133,102,129,109,142,112,125,170,150,0,0,0,0,586,0.483,626,0.517,141,0.11599999999999999,126,0.10400000000000001,907,0.748,7,0.006,31,0.026000000000000002,198,0.163,344,0.284,1021,84.2%,77.4%
Queens,Queens North,30,30Q145,I.S. 145 Joseph Pulitzer,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 145 Joseph Pulitzer,2019-20,1660,0,0,0,0,0,0,0,556,587,517,0,0,0,0,815,0.491,845,0.509,115,0.069,23,0.013999999999999999,1489,0.897,3,0.002,30,0.018000000000000002,229,0.138,260,0.157,1495,90.1%,82.4%
Queens,Queens North,30,30Q149,P.S. 149 Christa McAuliffe,Elementary,Dual Language,Spanish,General Education,P.S. 149 Christa McAuliffe,2019-20,940,0,112,109,125,202,201,191,0,0,0,0,0,0,0,474,0.504,466,0.496,88,0.094,11,0.012,803,0.8540000000000001,12,0.013000000000000001,26,0.027999999999999997,177,0.188,341,0.363,747,79.5%,81.4%
Queens,Queens North,30,30Q150,P.S. 150 Queens,Elementary,Dual Language,Spanish,General Education,P.S. 150 Queens,2019-20,1014,49,161,136,139,149,148,160,72,0,0,0,0,0,0,527,0.52,487,0.48,261,0.257,11,0.011000000000000001,456,0.45,45,0.044000000000000004,241,0.23800000000000002,125,0.12300000000000001,151,0.149,523,51.6%,58.0%
Queens,Queens North,30,30Q166,P.S. 166 Henry Gradstein,Elementary,Dual Language,Spanish,General Education,P.S. 166 Henry Gradstein,2019-20,947,33,155,164,146,150,147,152,0,0,0,0,0,0,0,478,0.505,469,0.495,206,0.218,32,0.034,400,0.42200000000000004,45,0.048,264,0.27899999999999997,115,0.121,135,0.14300000000000002,575,60.7%,58.8%
