Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,mostCommonEthnicGroup,language_number
Queens,Queens North,25,25Q120,P.S. 120 Queens,Elementary,Transitional Bilingual Education,Chinese,Special Education,P.S. 120 Queens,2019-20,913,54,124,136,144,138,145,172,0,0,0,0,0,0,0,455,0.498,458,0.502,740,0.8109999999999999,5,0.005,152,0.166,5,0.005,11,0.012,119,0.13,325,0.35600000000000004,681,74.6%,78.0%,0.8109999999999999,2
Queens,Queens North,25,25Q163,P.S. 163 Flushing Heights,Elementary,Dual Language,Chinese,General Education,P.S. 163 Flushing Heights,2019-20,807,70,119,126,132,128,121,111,0,0,0,0,0,0,0,369,0.457,438,0.5429999999999999,652,0.8079999999999999,11,0.013999999999999999,120,0.149,14,0.017,10,0.012,102,0.126,308,0.382,645,79.9%,69.0%,0.8079999999999999,2
Queens,Queens North,25,25Q163,P.S. 163 Flushing Heights,Elementary,Transitional Bilingual Education,Chinese,Special Education,P.S. 163 Flushing Heights,2019-20,807,70,119,126,132,128,121,111,0,0,0,0,0,0,0,369,0.457,438,0.5429999999999999,652,0.8079999999999999,11,0.013999999999999999,120,0.149,14,0.017,10,0.012,102,0.126,308,0.382,645,79.9%,69.0%,0.8079999999999999,2
Queens,Queens North,25,25Q185,J.H.S. 185 Edward Bleeker,Junior High-Intermediate-Middle,Transitional Bilingual Education,Chinese,General Education,J.H.S. 185 Edward Bleeker,2019-20,1471,0,0,0,0,0,0,0,452,522,497,0,0,0,0,665,0.452,806,0.5479999999999999,884,0.601,27,0.018000000000000002,421,0.28600000000000003,13,0.009000000000000001,126,0.086,221,0.15,190,0.129,1086,73.8%,66.2%,0.601,2
Queens,Queens North,25,25Q189,J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,J.H.S. 189 Daniel Carter Beard,2019-20,735,0,0,0,0,0,0,0,236,240,259,0,0,0,0,365,0.49700000000000005,370,0.503,463,0.63,23,0.031,233,0.317,3,0.004,13,0.018000000000000002,136,0.185,162,0.22,625,85.0%,80.8%,0.63,2
Queens,Queens North,25,25Q237,I.S. 237,Junior High-Intermediate-Middle,Transitional Bilingual Education,Chinese,General Education,I.S. 237,2019-20,1355,0,0,0,0,0,0,0,443,454,458,0,0,0,0,640,0.47200000000000003,715,0.528,1073,0.792,53,0.039,209,0.154,6,0.004,14,0.01,170,0.125,287,0.212,1071,79.0%,75.8%,0.792,2
Queens,Manhattan,25,25Q241,Queens High School for Language Studies,High school,Transitional Bilingual Education,Chinese,General Education,Queens High School for Language Studies,2019-20,447,0,0,0,0,0,0,0,0,0,0,113,120,109,105,261,0.584,186,0.41600000000000004,260,0.5820000000000001,27,0.06,132,0.295,14,0.031,14,0.031,24,0.054000000000000006,99,0.221,347,77.6%,77.6%,0.5820000000000001,2
Queens,Queens North,25,25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,Early Childhood,Transitional Bilingual Education,Chinese,General Education,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,2019-20,402,36,117,97,78,74,0,0,0,0,0,0,0,0,0,197,0.49,205,0.51,315,0.784,15,0.037000000000000005,50,0.124,4,0.01,18,0.045,51,0.127,131,0.326,274,68.2%,63.2%,0.784,2
Queens,Queens North,25,25Q244,The Active Learning Elementary School,Early Childhood,Transitional Bilingual Education,Chinese,General Education,The Active Learning Elementary School,2019-20,475,36,128,115,110,86,0,0,0,0,0,0,0,0,0,224,0.47200000000000003,251,0.528,419,0.882,7,0.015,31,0.065,8,0.017,10,0.021,51,0.107,260,0.547,369,77.7%,71.7%,0.882,2
Queens,Queens North,25,25Q425,John Bowne High School,High school,Transitional Bilingual Education,Chinese,General Education,John Bowne High School,2019-20,3432,0,0,0,0,0,0,0,0,0,0,1112,828,865,627,1717,0.5,1715,0.5,997,0.29100000000000004,666,0.19399999999999998,1485,0.433,104,0.03,180,0.052000000000000005,522,0.152,619,0.18,2548,74.2%,76.6%,0.433,2
